Source,Velocity,cont_chans
24013+0488,94,"0~90;125~825;835~1450;1458~1680;1690~1915','0~925;1000~1015;1040~1915','0~955','0~465;495~955','0~850;1070~1915'"
28178-0091,98,"0~90;150~800;850~1450;1500~1660;1700~1918','0~950;1050~1911','0~900','0~450;550~900','0~900;1100~1918'"
31946+0076,96,"0~85;150~800;860~1340;1500~1650;1750~1918','0~900;1100~1911','0~900','0~200;320~478;600~900','0~450;550~900','0~800;1200~1918'"
G327.393+00.199,-89,"0~70;120~810;830~1340;1364~1420;1450~1665;1680~1915','0~700;800~1915','0~930','0~250;350~930','0~650;850~1915'"
G327.403+00.444,-80,"0~70;120~810;840~1300;1320~1340;1370~1420;1460~1470;1490~1660;1690~1915','0~730;830~1915','0~940','0~290;380~940','0~690;920~1915'"
G331.132-00.245,-80,"30~70;120~800;830~1300;1320~1340;1370~1420;1460~1470;1490~1660;1690~1850;1870~1910','0~700;860~1910','0~930','0~250;350~930','0~620;900~1910'"
G332.604-00.168,-47,"0~90;120~820;840~1340;1380~1420;1470~1670;1700~1910','0~900;990~1910','0~930','0~450;500~930','0~880;1040~1910'"
G338.927+00.632,-62,"0~85;110~820;830~880;895~1300;1330~1350;1370~1430;1460~1470;1490~1670;1690~1919','0~800;930~1910','0~957','0~360;430~959','0~720;970~1917'"
G341.215-00.236,-44,"0~90;120~820;840~1315;1325~1350;1375~1430;1465~1480;1495~1680;1690~1917','0~900;1000~1919','0~956','0~450;590~956','0~850;1030~1919'"
G343.520-00.519,-35,"0~90;130~820;850~1315;1330~1350;1380~1430;1470~1480;1500~1680;1700~1910','0~950;1050~1915','0~955','0~490;550~955','0~900;1100~1915'"
G343.756-00.163,-28,"0~20;50~100;160~220;300~420;460~500;520~580;600~670;740~780;930~1040;1070~1160;1200~1320;1740~1820;1890~1919','50~900;1200~1919','0~100;250~400;500~750;910~959','0~520;600~959','0~900;1200~1580;1700~1919'"
G344.101-00.661,-26,"0~100;125~800;900~1300;1400~1440;1540~1660;1720;1919','0~1000;1200~1919','0~960','0~500;600~960','0~950;1100~1919'"
G344.221-00.594,-25,"0~100;150~300;400~1300;1600~1680;1740~1919','0~1000;1200~1919','0~960','0~550;650~960','0~900;1200~1919'"